id,origem,destino,localizacao,escalas,tempo_desde_ultimo_scan,alertas_sistema,lugar_bagagem,estado,tipo_bagagem,status_voo,distancia_percorrida
29,Lisboa,São Paulo,Los Angeles,,185,Sim,Cabine,Perdida,Normal,Atrasado,5793
30,London,Nova Iorque,Nova Iorque,,41,Nao,Cabine,Entregue,Normal,Cancelado,6619
31,Lisboa,Bangkok,Bangkok,Paris;Dubai;Barcelona,18,Nao,Cabine,Entregue,Normal,Normal,1548
32,Tóquio,Roma,Roma,,39,Nao,Porão,Entregue,Normal,Normal,415
33,São Paulo,Paris,Paris,Bangkok;London;Dubai,61,Nao,Cabine,Entregue,Normal,Normal,245
34,Dubai,Paris,Paris,Los Angeles,30,Nao,Cabine,Entregue,Normal,Cancelado,2662
35,Rio de Janeiro,Tóquio,Tóquio,Dubai;Porto;Barcelona,28,Nao,Porão,Entregue,Normal,Atrasado,6463
36,Roma,Bangkok,Los Angeles,Rio de Janeiro;Nova Iorque;London,128,Sim,Cabine,Perdida,Frágil,Atrasado,2441
37,Paris,Tóquio,London,London,5,Sim,Porão,Em trânsito,Valiosa,Atrasado,3581
38,Tóquio,Barcelona,Barcelona,Dubai;London,20,Nao,Porão,Entregue,Frágil,Normal,5115
39,Madrid,Paris,Paris,Barcelona;Dubai,65,Nao,Porão,Entregue,Normal,Normal,912
40,Sydney,Dubai,Porto,Porto;Tóquio;Rio de Janeiro,20,Sim,Porão,Em trânsito,Normal,Normal,8274
41,Tóquio,Lisboa,London,Los Angeles;Funchal;Rio de Janeiro,167,Sim,Cabine,Perdida,Frágil,Atrasado,5953
42,São Paulo,Barcelona,Bangkok,Bangkok;Los Angeles,26,Sim,Cabine,Em trânsito,Normal,Normal,1334
43,Roma,Paris,Porto,Funchal,115,Sim,Porão,Perdida,Valiosa,Normal,9617
44,Porto,Los Angeles,Rio de Janeiro,Lisboa;Dubai,118,Sim,Porão,Perdida,Normal,Normal,9106
45,Rio de Janeiro,São Paulo,Funchal,Porto;Lisboa;Roma,180,Sim,Porão,Perdida,Valiosa,Atrasado,6510
46,Roma,São Paulo,Funchal,Rio de Janeiro;Lisboa,172,Sim,Porão,Perdida,Normal,Normal,1068
47,Porto,Madrid,Bangkok,,186,Sim,Porão,Perdida,Valiosa,Normal,475
48,Barcelona,Los Angeles,Los Angeles,,68,Nao,Cabine,Entregue,Normal,Normal,9834
49,Funchal,Bangkok,Rio de Janeiro,Paris;Rio de Janeiro;London,24,Sim,Cabine,Em trânsito,Frágil,Normal,2421
50,Nova Iorque,Funchal,Barcelona,São Paulo,145,Sim,Porão,Perdida,Frágil,Normal,901
51,Bangkok,Porto,Porto,Rio de Janeiro;Roma,28,Nao,Porão,Entregue,Frágil,Atrasado,2115
52,Porto,Los Angeles,Los Angeles,,14,Nao,Porão,Entregue,Normal,Cancelado,3857
53,São Paulo,Paris,Paris,,26,Nao,Porão,Entregue,Frágil,Normal,9729
54,Dubai,Nova Iorque,Funchal,São Paulo;Funchal,50,Nao,Cabine,Entregue,Valiosa,Cancelado,7424
55,Lisboa,Porto,Rio de Janeiro,Rio de Janeiro;Tóquio,26,Sim,Cabine,Em trânsito,Normal,Atrasado,882
56,Tóquio,Madrid,Los Angeles,Los Angeles;Barcelona,71,Nao,Porão,Entregue,Normal,Cancelado,2701
57,London,São Paulo,São Paulo,Dubai;Rio de Janeiro,39,Nao,Cabine,Entregue,Frágil,Normal,9493
58,Madrid,Rio de Janeiro,Roma,Sydney,188,Sim,Cabine,Perdida,Normal,Normal,4834
59,Tóquio,Barcelona,Barcelona,Roma,19,Nao,Porão,Entregue,Normal,Atrasado,4602
60,São Paulo,London,London,Los Angeles;Nova Iorque,31,Nao,Porão,Entregue,Normal,Normal,2064
61,London,Bangkok,Nova Iorque,Nova Iorque,35,Nao,Porão,Entregue,Normal,Cancelado,2733
62,Dubai,Rio de Janeiro,Porto,,162,Sim,Porão,Perdida,Normal,Atrasado,8059
63,Dubai,Madrid,Madrid,Nova Iorque,26,Nao,Porão,Entregue,Normal,Cancelado,3888
64,Tóquio,Nova Iorque,Dubai,,124,Sim,Porão,Perdida,Frágil,Atrasado,6571
65,Funchal,Los Angeles,São Paulo,Porto;Roma,139,Sim,Porão,Perdida,Frágil,Normal,6095
66,Roma,Madrid,London,,122,Sim,Cabine,Perdida,Normal,Normal,3528
67,Bangkok,Paris,Porto,Porto;Dubai,19,Nao,Cabine,Entregue,Frágil,Cancelado,6311
68,Sydney,Porto,Porto,,28,Nao,Porão,Entregue,Normal,Normal,7296
69,Sydney,Tóquio,Tóquio,Rio de Janeiro;London,12,Nao,Cabine,Entregue,Normal,Atrasado,3364
70,Nova Iorque,Tóquio,Tóquio,Funchal;Paris,29,Nao,Cabine,Entregue,Normal,Cancelado,2188
71,Lisboa,Funchal,Porto,Dubai,191,Sim,Cabine,Perdida,Frágil,Atrasado,6617
72,Nova Iorque,Bangkok,Paris,Paris,47,Sim,Porão,Em trânsito,Frágil,Atrasado,3437
73,Bangkok,London,Funchal,Barcelona;Nova Iorque,163,Sim,Porão,Perdida,Normal,Atrasado,1949
74,Nova Iorque,Dubai,Dubai,Barcelona;Porto,49,Nao,Cabine,Entregue,Frágil,Cancelado,9453
75,Madrid,Barcelona,Porto,Paris;Porto,28,Sim,Cabine,Em trânsito,Normal,Atrasado,9611
76,Los Angeles,Lisboa,Rio de Janeiro,Sydney;Nova Iorque,137,Sim,Porão,Perdida,Frágil,Atrasado,4118
77,Bangkok,Funchal,Los Angeles,Nova Iorque,168,Sim,Porão,Perdida,Frágil,Normal,5978
78,Nova Iorque,London,London,Lisboa;São Paulo;Sydney,54,Nao,Cabine,Entregue,Valiosa,Normal,9019
79,Funchal,Roma,Roma,London;Bangkok;Tóquio,64,Nao,Cabine,Entregue,Frágil,Normal,1470
80,Sydney,Paris,London,Tóquio,131,Sim,Porão,Perdida,Normal,Atrasado,7179
81,Paris,Porto,Nova Iorque,Nova Iorque,39,Sim,Porão,Em trânsito,Normal,Normal,6620
82,Dubai,Los Angeles,Nova Iorque,Tóquio;Rio de Janeiro;Madrid,199,Sim,Porão,Perdida,Normal,Normal,8954
83,Tóquio,London,Funchal,Funchal;Los Angeles,24,Sim,Porão,Em trânsito,Normal,Normal,1640
84,Rio de Janeiro,Bangkok,Bangkok,São Paulo,54,Nao,Porão,Entregue,Normal,Normal,2486
85,Porto,Funchal,Los Angeles,Barcelona,171,Sim,Porão,Perdida,Normal,Atrasado,4685
86,Roma,Porto,Porto,,29,Nao,Cabine,Entregue,Normal,Cancelado,3091
87,São Paulo,Bangkok,Bangkok,,39,Nao,Porão,Entregue,Normal,Atrasado,8892
88,Dubai,Paris,São Paulo,Bangkok,183,Sim,Porão,Perdida,Valiosa,Normal,1632
89,London,Barcelona,Madrid,Madrid,24,Sim,Porão,Em trânsito,Normal,Normal,1636
90,Roma,Los Angeles,Madrid,Funchal;Madrid,38,Sim,Porão,Em trânsito,Normal,Normal,5608
91,Porto,London,Lisboa,Bangkok;Lisboa;São Paulo,32,Sim,Porão,Em trânsito,Normal,Atrasado,1145
92,Nova Iorque,Rio de Janeiro,Barcelona,Porto;São Paulo;Roma,119,Sim,Cabine,Perdida,Normal,Atrasado,2976
93,Los Angeles,Sydney,Sydney,London,44,Nao,Cabine,Entregue,Normal,Atrasado,7194
94,Funchal,Paris,Nova Iorque,Nova Iorque,53,Nao,Cabine,Entregue,Valiosa,Cancelado,2942
95,Porto,São Paulo,São Paulo,,30,Nao,Porão,Entregue,Frágil,Cancelado,1579
96,Barcelona,Porto,Funchal,São Paulo;Sydney;Funchal,12,Sim,Cabine,Em trânsito,Valiosa,Normal,7502
97,Tóquio,Paris,Paris,,11,Nao,Porão,Entregue,Frágil,Normal,1527
98,Porto,Paris,Barcelona,Sydney,188,Sim,Porão,Perdida,Normal,Atrasado,6084
99,São Paulo,Tóquio,Roma,Los Angeles;Roma,14,Nao,Porão,Entregue,Valiosa,Cancelado,9872
100,Nova Iorque,Funchal,São Paulo,London;Madrid;Dubai,142,Sim,Porão,Perdida,Normal,Atrasado,7355
