id,origem,destino,localizacao,escalas,tempo_desde_ultimo_scan,alertas_sistema,lugar_bagagem,estado,tipo_bagagem,status_voo,distancia_percorrida
45,Funchal,Bangkok,Bangkok,Porto;Sydney;Paris,38,Nao,Porão,Entregue,Frágil,Atrasado,9810
46,Nova Iorque,Funchal,Rio de Janeiro,Rio de Janeiro;Tóquio,31,Sim,Cabine,Em trânsito,Normal,Atrasado,2037
47,Sydney,Tóquio,Tóquio,,40,Nao,Porão,Entregue,Normal,Cancelado,1247
48,Roma,Dubai,Porto,Sydney;Barcelona;Porto,19,Sim,Cabine,Em trânsito,Normal,Atrasado,8297
49,Nova Iorque,Lisboa,Rio de Janeiro,Funchal;Roma;London,166,Sim,Porão,Perdida,Normal,Atrasado,4395
50,Lisboa,Dubai,Roma,Roma,25,Sim,Porão,Em trânsito,Normal,Atrasado,2091
51,Madrid,Los Angeles,São Paulo,Bangkok;Roma;Funchal,169,Sim,Porão,Perdida,Normal,Normal,6492
52,Funchal,Paris,Bangkok,Tóquio;Madrid;Bangkok,23,Sim,Porão,Em trânsito,Frágil,Normal,1055
53,London,Porto,Los Angeles,Los Angeles;Roma,34,Sim,Porão,Em trânsito,Frágil,Atrasado,1015
54,Dubai,Paris,Paris,Funchal;Porto;Lisboa,61,Nao,Porão,Entregue,Frágil,Normal,7072
55,Tóquio,São Paulo,São Paulo,Sydney;Porto;Los Angeles,65,Nao,Porão,Entregue,Valiosa,Normal,5650
56,Madrid,Roma,Roma,Funchal;Nova Iorque,43,Nao,Cabine,Entregue,Normal,Atrasado,7832
57,London,Dubai,Los Angeles,Sydney;Tóquio;Los Angeles,23,Nao,Porão,Entregue,Frágil,Cancelado,9310
58,Barcelona,Nova Iorque,Nova Iorque,Bangkok,12,Nao,Porão,Entregue,Valiosa,Atrasado,6768
59,Dubai,Rio de Janeiro,Lisboa,Lisboa,32,Sim,Porão,Em trânsito,Normal,Atrasado,2818
60,Paris,Bangkok,Bangkok,Sydney,14,Nao,Cabine,Entregue,Normal,Cancelado,5276
61,Funchal,Porto,Roma,,101,Sim,Porão,Perdida,Normal,Normal,5795
62,Tóquio,Dubai,Paris,,191,Sim,Cabine,Perdida,Frágil,Normal,8834
63,Funchal,Paris,Paris,Bangkok;Lisboa,30,Nao,Porão,Entregue,Normal,Atrasado,6345
64,Funchal,London,London,Nova Iorque;Barcelona,62,Nao,Porão,Entregue,Valiosa,Atrasado,8444
65,Porto,Roma,Los Angeles,Funchal;Rio de Janeiro;Los Angeles,21,Nao,Cabine,Entregue,Normal,Cancelado,8140
66,Paris,Porto,Barcelona,Dubai;Tóquio;Barcelona,10,Sim,Cabine,Em trânsito,Normal,Atrasado,7376
67,Barcelona,Los Angeles,Sydney,Sydney;Funchal;Tóquio,8,Sim,Porão,Em trânsito,Frágil,Normal,8196
68,Paris,Dubai,Tóquio,Tóquio,13,Sim,Cabine,Em trânsito,Normal,Atrasado,2943
69,São Paulo,Sydney,Bangkok,Porto;Bangkok;Barcelona,30,Nao,Cabine,Entregue,Normal,Cancelado,2799
70,Lisboa,Sydney,Sydney,,22,Nao,Porão,Entregue,Frágil,Atrasado,8246
71,London,Madrid,Madrid,,66,Nao,Porão,Entregue,Normal,Cancelado,323
72,Madrid,Tóquio,Tóquio,,66,Nao,Cabine,Entregue,Frágil,Atrasado,2387
73,Funchal,Paris,Lisboa,Sydney;Roma;London,140,Sim,Cabine,Perdida,Normal,Atrasado,9953
74,Paris,Nova Iorque,Roma,Los Angeles;Dubai,139,Sim,Porão,Perdida,Frágil,Atrasado,4203
75,Roma,Rio de Janeiro,Rio de Janeiro,,48,Nao,Cabine,Entregue,Frágil,Cancelado,3209
76,Lisboa,Funchal,Porto,Rio de Janeiro;Porto,31,Sim,Porão,Em trânsito,Frágil,Normal,8498
77,Paris,São Paulo,Sydney,Sydney,14,Sim,Porão,Em trânsito,Normal,Normal,5514
78,Sydney,Los Angeles,Los Angeles,,44,Nao,Porão,Entregue,Frágil,Normal,9465
79,Lisboa,Los Angeles,Barcelona,London;Barcelona;Sydney,27,Nao,Porão,Entregue,Normal,Cancelado,779
80,Nova Iorque,Sydney,Barcelona,Barcelona,29,Sim,Porão,Em trânsito,Normal,Atrasado,6286
81,Lisboa,Roma,Rio de Janeiro,London;Rio de Janeiro,25,Sim,Porão,Em trânsito,Frágil,Normal,3862
82,Tóquio,Lisboa,Los Angeles,,118,Sim,Cabine,Perdida,Normal,Atrasado,4710
83,Lisboa,Rio de Janeiro,Roma,Roma,32,Sim,Cabine,Em trânsito,Normal,Normal,2712
84,Rio de Janeiro,Lisboa,Lisboa,Roma;Barcelona;São Paulo,41,Nao,Porão,Entregue,Normal,Cancelado,9963
85,Funchal,Bangkok,Bangkok,,12,Nao,Porão,Entregue,Normal,Cancelado,8817
86,Dubai,Nova Iorque,Nova Iorque,,25,Nao,Cabine,Entregue,Normal,Atrasado,6660
87,Nova Iorque,São Paulo,Rio de Janeiro,Los Angeles;Sydney,121,Sim,Porão,Perdida,Normal,Normal,667
88,Roma,Dubai,Los Angeles,Lisboa;Los Angeles,26,Sim,Porão,Em trânsito,Normal,Normal,7805
89,Rio de Janeiro,Porto,Porto,Sydney,21,Nao,Cabine,Entregue,Normal,Atrasado,7420
90,Bangkok,Sydney,Sydney,Nova Iorque,33,Nao,Porão,Entregue,Frágil,Normal,3449
91,Nova Iorque,Porto,Lisboa,Madrid;Lisboa,13,Sim,Porão,Em trânsito,Frágil,Normal,5415
92,Bangkok,Madrid,Lisboa,London;Barcelona;Sydney,144,Sim,Porão,Perdida,Normal,Atrasado,6750
93,Nova Iorque,Tóquio,Tóquio,Madrid;Dubai,53,Nao,Porão,Entregue,Frágil,Normal,3513
94,Nova Iorque,Dubai,Dubai,,49,Nao,Porão,Entregue,Frágil,Atrasado,6464
95,Dubai,Funchal,Porto,Paris;Nova Iorque,153,Sim,Porão,Perdida,Frágil,Normal,4270
96,São Paulo,Dubai,Dubai,Los Angeles;Rio de Janeiro,61,Nao,Cabine,Entregue,Normal,Normal,8933
97,Rio de Janeiro,Bangkok,Bangkok,Tóquio;Porto;Roma,32,Nao,Porão,Entregue,Valiosa,Atrasado,2765
98,Sydney,Nova Iorque,Dubai,Dubai;Bangkok,53,Nao,Porão,Entregue,Frágil,Cancelado,4481
99,Bangkok,Roma,Tóquio,,197,Sim,Cabine,Perdida,Frágil,Atrasado,2555
100,Barcelona,Roma,Roma,Madrid;Paris;Los Angeles,17,Nao,Porão,Entregue,Frágil,Atrasado,5748
101,Rio de Janeiro,Los Angeles,Los Angeles,Porto;Roma,30,Nao,Porão,Entregue,Normal,Atrasado,2014
102,Barcelona,Porto,Tóquio,,181,Sim,Porão,Perdida,Normal,Atrasado,1034
103,Porto,Los Angeles,Los Angeles,Rio de Janeiro;Sydney,61,Nao,Porão,Entregue,Valiosa,Atrasado,6754
104,Bangkok,London,London,,51,Nao,Porão,Entregue,Normal,Atrasado,7660
105,Sydney,London,Lisboa,Tóquio,124,Sim,Porão,Perdida,Normal,Normal,3125
106,Rio de Janeiro,Los Angeles,Los Angeles,Tóquio,67,Nao,Porão,Entregue,Normal,Atrasado,7246
107,Madrid,Barcelona,Funchal,Funchal,17,Sim,Cabine,Em trânsito,Valiosa,Normal,7571
108,Rio de Janeiro,Dubai,Dubai,Porto;London;Paris,68,Nao,Porão,Entregue,Normal,Atrasado,1824
109,Paris,Funchal,Funchal,,20,Nao,Porão,Entregue,Normal,Cancelado,667
110,Porto,Sydney,Sydney,London;Barcelona,40,Nao,Cabine,Entregue,Normal,Cancelado,5703
111,São Paulo,Porto,Porto,,19,Nao,Cabine,Entregue,Normal,Normal,2573
112,London,Madrid,Madrid,Funchal;Nova Iorque;Tóquio,14,Nao,Porão,Entregue,Normal,Atrasado,6978
113,London,Lisboa,Lisboa,Roma;Funchal;Madrid,48,Nao,Porão,Entregue,Normal,Cancelado,6348
114,Rio de Janeiro,Los Angeles,Los Angeles,Madrid,64,Nao,Porão,Entregue,Normal,Atrasado,4508
115,Funchal,London,Nova Iorque,Lisboa;Madrid;Paris,167,Sim,Porão,Perdida,Frágil,Atrasado,6893
116,Madrid,Tóquio,Tóquio,Los Angeles,36,Nao,Cabine,Entregue,Frágil,Normal,7972
117,Paris,Madrid,Roma,Tóquio,167,Sim,Cabine,Perdida,Normal,Normal,6053
118,London,Bangkok,Bangkok,,48,Nao,Cabine,Entregue,Normal,Atrasado,9180
119,Bangkok,Dubai,Dubai,,36,Nao,Porão,Entregue,Normal,Atrasado,4378
120,Bangkok,Los Angeles,Los Angeles,,66,Nao,Cabine,Entregue,Normal,Atrasado,9751
121,Bangkok,Madrid,Madrid,Funchal;Dubai,65,Nao,Cabine,Entregue,Normal,Atrasado,5828
122,Paris,Dubai,Roma,São Paulo;Roma,34,Sim,Porão,Em trânsito,Normal,Atrasado,6789
123,Madrid,Sydney,Sydney,Roma;Paris,17,Nao,Cabine,Entregue,Normal,Atrasado,9479
124,Bangkok,Porto,Porto,Lisboa;Nova Iorque,59,Nao,Porão,Entregue,Normal,Cancelado,8914
125,Roma,London,London,,31,Nao,Cabine,Entregue,Valiosa,Cancelado,6217
126,Tóquio,Lisboa,Dubai,Bangkok;Barcelona;Dubai,23,Sim,Porão,Em trânsito,Normal,Normal,3049
127,Rio de Janeiro,Porto,Bangkok,Bangkok;Nova Iorque;Barcelona,26,Sim,Porão,Em trânsito,Frágil,Atrasado,4136
128,Funchal,Paris,Barcelona,Rio de Janeiro;Tóquio;Barcelona,22,Sim,Cabine,Em trânsito,Valiosa,Normal,3651
129,Madrid,Lisboa,London,Sydney;Los Angeles;Rio de Janeiro,140,Sim,Porão,Perdida,Frágil,Atrasado,7478
130,Funchal,Barcelona,Bangkok,Lisboa,131,Sim,Porão,Perdida,Normal,Atrasado,5844
131,Roma,Paris,Paris,Bangkok,17,Nao,Cabine,Entregue,Normal,Atrasado,8876
132,Porto,Tóquio,London,Los Angeles;London;Dubai,25,Sim,Porão,Em trânsito,Normal,Atrasado,6423
133,Tóquio,Rio de Janeiro,Madrid,Lisboa,118,Sim,Cabine,Perdida,Normal,Atrasado,1283
134,Nova Iorque,Bangkok,São Paulo,São Paulo,39,Sim,Porão,Em trânsito,Valiosa,Normal,1057
135,Barcelona,Paris,Nova Iorque,,128,Sim,Porão,Perdida,Frágil,Atrasado,6270
136,Bangkok,Paris,Roma,Los Angeles;Funchal,140,Sim,Porão,Perdida,Frágil,Normal,2179
137,London,Funchal,Lisboa,Los Angeles,181,Sim,Porão,Perdida,Frágil,Atrasado,3405
138,Tóquio,Sydney,Lisboa,Rio de Janeiro,104,Sim,Porão,Perdida,Normal,Atrasado,2974
139,São Paulo,Funchal,Bangkok,,161,Sim,Cabine,Perdida,Normal,Normal,3270
140,Barcelona,São Paulo,Roma,Roma,26,Sim,Cabine,Em trânsito,Frágil,Atrasado,8047
141,Lisboa,Rio de Janeiro,Paris,Paris,28,Sim,Porão,Em trânsito,Normal,Normal,9393
142,Sydney,Funchal,São Paulo,Nova Iorque;Barcelona,161,Sim,Porão,Perdida,Frágil,Atrasado,7966
143,São Paulo,Bangkok,Bangkok,Lisboa;Tóquio,26,Nao,Porão,Entregue,Frágil,Normal,5321
144,Tóquio,Barcelona,Rio de Janeiro,,167,Sim,Cabine,Perdida,Frágil,Normal,7307
145,Bangkok,Tóquio,Rio de Janeiro,,173,Sim,Porão,Perdida,Normal,Normal,9794
146,Paris,São Paulo,São Paulo,Roma;Funchal;Sydney,16,Nao,Cabine,Entregue,Normal,Cancelado,7741
147,Bangkok,Porto,Paris,Madrid;Sydney;Paris,27,Sim,Cabine,Em trânsito,Frágil,Atrasado,5637
148,Tóquio,Sydney,Sydney,Roma;Lisboa,38,Nao,Porão,Entregue,Frágil,Atrasado,3521
149,Roma,Paris,Paris,,20,Nao,Cabine,Entregue,Normal,Cancelado,8182
150,Dubai,Lisboa,Lisboa,Barcelona;Madrid;Porto,21,Nao,Porão,Entregue,Frágil,Normal,1511
151,Lisboa,Funchal,Los Angeles,Dubai;São Paulo;London,197,Sim,Porão,Perdida,Frágil,Atrasado,553
152,Barcelona,Lisboa,London,Nova Iorque,150,Sim,Cabine,Perdida,Valiosa,Atrasado,4066
153,Barcelona,Lisboa,Lisboa,Madrid;Bangkok,40,Nao,Porão,Entregue,Normal,Atrasado,4247
154,Barcelona,Tóquio,Porto,Porto,13,Sim,Cabine,Em trânsito,Normal,Normal,6291
155,Porto,Lisboa,Rio de Janeiro,Bangkok;Madrid;Rio de Janeiro,36,Sim,Porão,Em trânsito,Frágil,Atrasado,2477
156,Lisboa,São Paulo,Funchal,Barcelona;Funchal,10,Sim,Cabine,Em trânsito,Normal,Normal,4329
157,Bangkok,Porto,Barcelona,Madrid,153,Sim,Cabine,Perdida,Normal,Atrasado,815
158,London,Lisboa,Lisboa,Los Angeles,28,Nao,Cabine,Entregue,Normal,Normal,8207
159,Los Angeles,Paris,London,,165,Sim,Porão,Perdida,Normal,Atrasado,1940
160,Rio de Janeiro,Madrid,Tóquio,Tóquio,20,Sim,Porão,Em trânsito,Valiosa,Atrasado,2973
161,Roma,Nova Iorque,Nova Iorque,Barcelona,31,Nao,Porão,Entregue,Normal,Normal,1114
162,Bangkok,Rio de Janeiro,Rio de Janeiro,Sydney;Nova Iorque;Lisboa,53,Nao,Cabine,Entregue,Frágil,Normal,2643
163,Tóquio,Paris,Paris,Los Angeles,26,Nao,Cabine,Entregue,Frágil,Normal,7531
164,London,Dubai,Barcelona,Nova Iorque,132,Sim,Porão,Perdida,Valiosa,Normal,9711
165,Funchal,Nova Iorque,Madrid,Rio de Janeiro,172,Sim,Porão,Perdida,Frágil,Atrasado,7163
166,Funchal,Dubai,Madrid,São Paulo,101,Sim,Porão,Perdida,Frágil,Normal,9579
167,Sydney,São Paulo,Roma,Funchal;Roma,29,Sim,Porão,Em trânsito,Normal,Atrasado,1552
168,Funchal,Porto,Barcelona,Bangkok;Roma;Lisboa,170,Sim,Porão,Perdida,Normal,Normal,5066
169,Tóquio,Nova Iorque,Nova Iorque,Bangkok;São Paulo;Funchal,37,Nao,Porão,Entregue,Frágil,Atrasado,5752
170,London,Dubai,Sydney,Sydney;Tóquio,29,Sim,Porão,Em trânsito,Valiosa,Atrasado,3961
171,Bangkok,Roma,Los Angeles,Nova Iorque;London;Madrid,140,Sim,Porão,Perdida,Frágil,Normal,605
172,Roma,Bangkok,Porto,Los Angeles;Rio de Janeiro;Porto,15,Sim,Porão,Em trânsito,Normal,Atrasado,5278
173,Roma,Tóquio,Tóquio,,64,Nao,Porão,Entregue,Normal,Normal,6189
174,Barcelona,Madrid,Porto,London;Nova Iorque;Funchal,127,Sim,Porão,Perdida,Valiosa,Normal,5927
175,Porto,Rio de Janeiro,Rio de Janeiro,,60,Nao,Porão,Entregue,Valiosa,Normal,3646
176,Barcelona,Nova Iorque,Sydney,Los Angeles,122,Sim,Porão,Perdida,Normal,Normal,9269
177,Lisboa,Dubai,Dubai,Tóquio;Madrid,33,Nao,Cabine,Entregue,Frágil,Atrasado,9718
178,London,Rio de Janeiro,Rio de Janeiro,,19,Nao,Porão,Entregue,Normal,Atrasado,3693
179,Los Angeles,Nova Iorque,Nova Iorque,,42,Nao,Porão,Entregue,Normal,Normal,1901
180,Dubai,São Paulo,Los Angeles,Rio de Janeiro;Barcelona;Los Angeles,15,Sim,Cabine,Em trânsito,Normal,Normal,8201
181,São Paulo,Barcelona,Paris,Bangkok;Paris;Porto,13,Sim,Porão,Em trânsito,Normal,Normal,1722
182,Madrid,Roma,Rio de Janeiro,Rio de Janeiro,34,Sim,Cabine,Em trânsito,Normal,Normal,7485
183,São Paulo,Rio de Janeiro,Dubai,Roma;Barcelona;Funchal,117,Sim,Porão,Perdida,Frágil,Normal,2551
184,Paris,Barcelona,Rio de Janeiro,Lisboa;Madrid;Tóquio,182,Sim,Cabine,Perdida,Normal,Atrasado,1774
185,Roma,Dubai,Bangkok,Lisboa;Bangkok;Sydney,33,Nao,Porão,Entregue,Normal,Cancelado,6270
186,London,Dubai,Lisboa,São Paulo;Los Angeles,196,Sim,Porão,Perdida,Frágil,Normal,888
187,Funchal,Tóquio,Sydney,Sydney;São Paulo,1,Sim,Porão,Em trânsito,Normal,Atrasado,9029
188,Paris,Rio de Janeiro,Rio de Janeiro,São Paulo;Funchal;Roma,42,Nao,Cabine,Entregue,Normal,Normal,3056
189,Nova Iorque,Porto,Porto,Bangkok,43,Nao,Cabine,Entregue,Normal,Normal,4044
190,São Paulo,Rio de Janeiro,Sydney,Sydney,1,Sim,Porão,Em trânsito,Valiosa,Atrasado,3820
191,Funchal,Los Angeles,Roma,,178,Sim,Porão,Perdida,Normal,Atrasado,7120
192,Nova Iorque,São Paulo,Sydney,Rio de Janeiro;Sydney;Bangkok,64,Nao,Cabine,Entregue,Frágil,Cancelado,220
193,Sydney,Funchal,Funchal,,31,Nao,Porão,Entregue,Frágil,Cancelado,4261
194,Barcelona,Funchal,Madrid,,116,Sim,Porão,Perdida,Normal,Normal,6658
195,Bangkok,Rio de Janeiro,Paris,,145,Sim,Porão,Perdida,Frágil,Atrasado,5976
196,São Paulo,Rio de Janeiro,London,,152,Sim,Porão,Perdida,Frágil,Normal,4664
197,Rio de Janeiro,Funchal,Madrid,,137,Sim,Cabine,Perdida,Normal,Atrasado,4771
198,London,Paris,Paris,Sydney;Bangkok;Tóquio,19,Nao,Cabine,Entregue,Frágil,Normal,2791
199,Barcelona,Sydney,Sydney,,67,Nao,Porão,Entregue,Frágil,Normal,9723
200,Madrid,Sydney,Sydney,Rio de Janeiro,64,Nao,Porão,Entregue,Frágil,Cancelado,3220
201,Rio de Janeiro,London,London,,35,Nao,Cabine,Entregue,Frágil,Normal,3244
202,Dubai,Sydney,Sydney,Rio de Janeiro;Tóquio;Paris,13,Nao,Porão,Entregue,Normal,Normal,9171
203,Sydney,Tóquio,Los Angeles,London;Paris;Dubai,108,Sim,Cabine,Perdida,Frágil,Atrasado,1816
204,Nova Iorque,Porto,Los Angeles,Bangkok,182,Sim,Porão,Perdida,Frágil,Atrasado,3651
205,Porto,Dubai,Lisboa,Tóquio;London;Nova Iorque,186,Sim,Cabine,Perdida,Normal,Normal,2836
206,Los Angeles,Bangkok,London,London,24,Sim,Cabine,Em trânsito,Frágil,Normal,467
207,Rio de Janeiro,Paris,Los Angeles,Tóquio,174,Sim,Porão,Perdida,Normal,Normal,4747
208,Barcelona,Nova Iorque,Madrid,Porto;Paris,179,Sim,Cabine,Perdida,Normal,Normal,8837
209,Dubai,Lisboa,Madrid,Tóquio;Madrid,40,Sim,Porão,Em trânsito,Valiosa,Atrasado,5226
210,Sydney,Rio de Janeiro,Rio de Janeiro,,70,Nao,Porão,Entregue,Frágil,Atrasado,6476
211,Sydney,Funchal,Funchal,,70,Nao,Porão,Entregue,Normal,Normal,8338
212,Bangkok,Rio de Janeiro,Rio de Janeiro,,36,Nao,Cabine,Entregue,Frágil,Atrasado,5422
213,São Paulo,Dubai,Dubai,,29,Nao,Porão,Entregue,Frágil,Cancelado,9078
214,Sydney,Bangkok,Bangkok,Paris;London;Porto,24,Nao,Cabine,Entregue,Normal,Atrasado,7497
215,São Paulo,Los Angeles,Paris,Dubai,180,Sim,Porão,Perdida,Frágil,Atrasado,7386
216,Rio de Janeiro,Nova Iorque,Nova Iorque,Bangkok,10,Nao,Cabine,Entregue,Frágil,Normal,2071
217,Barcelona,Los Angeles,Nova Iorque,Funchal;Nova Iorque,12,Sim,Porão,Em trânsito,Normal,Atrasado,1170
218,Porto,Dubai,Barcelona,Los Angeles,107,Sim,Porão,Perdida,Normal,Normal,6804
219,Porto,Nova Iorque,Barcelona,Barcelona,1,Sim,Cabine,Em trânsito,Normal,Normal,2337
220,Paris,Sydney,Nova Iorque,Lisboa;Barcelona;Bangkok,137,Sim,Cabine,Perdida,Valiosa,Normal,2042
221,Paris,Lisboa,Barcelona,Bangkok;Madrid,162,Sim,Cabine,Perdida,Normal,Normal,9889
222,Paris,Tóquio,Tóquio,,48,Nao,Porão,Entregue,Normal,Cancelado,5605
223,São Paulo,Sydney,Dubai,Barcelona;Funchal;Nova Iorque,174,Sim,Porão,Perdida,Frágil,Normal,3064
224,Lisboa,Madrid,Funchal,Paris;London,176,Sim,Porão,Perdida,Normal,Normal,4203
225,Paris,London,Sydney,Rio de Janeiro;Roma,113,Sim,Porão,Perdida,Frágil,Normal,3284
226,London,Rio de Janeiro,Los Angeles,Funchal,183,Sim,Cabine,Perdida,Normal,Atrasado,2512
227,Tóquio,Roma,Roma,Nova Iorque;Lisboa,56,Nao,Cabine,Entregue,Normal,Cancelado,5426
228,Dubai,Paris,Paris,Lisboa;Roma,16,Nao,Cabine,Entregue,Valiosa,Normal,9627
229,Rio de Janeiro,Roma,Roma,,53,Nao,Cabine,Entregue,Frágil,Cancelado,7639
230,Dubai,London,London,Nova Iorque,34,Nao,Cabine,Entregue,Normal,Normal,6206
231,Madrid,Nova Iorque,Nova Iorque,Funchal;Sydney;São Paulo,40,Nao,Cabine,Entregue,Frágil,Normal,2153
232,Rio de Janeiro,Barcelona,Barcelona,Los Angeles;São Paulo;Madrid,54,Nao,Porão,Entregue,Frágil,Atrasado,4880
233,London,Roma,Roma,,11,Nao,Porão,Entregue,Normal,Normal,9510
234,São Paulo,Barcelona,Bangkok,Madrid;Roma,177,Sim,Cabine,Perdida,Frágil,Normal,528
235,Lisboa,Porto,Sydney,Los Angeles,116,Sim,Porão,Perdida,Frágil,Normal,8709
236,Tóquio,Barcelona,Bangkok,,145,Sim,Porão,Perdida,Normal,Normal,3849
237,Rio de Janeiro,Nova Iorque,Lisboa,Madrid;Funchal;Bangkok,158,Sim,Porão,Perdida,Normal,Normal,9240
238,Roma,Paris,Paris,,58,Nao,Porão,Entregue,Frágil,Normal,2257
239,Madrid,Los Angeles,Rio de Janeiro,Funchal,175,Sim,Porão,Perdida,Frágil,Normal,7817
240,Roma,Porto,Porto,,58,Nao,Porão,Entregue,Normal,Cancelado,7530
241,Dubai,Nova Iorque,London,London;Roma,31,Sim,Porão,Em trânsito,Normal,Normal,8229
242,Porto,São Paulo,São Paulo,Madrid,39,Nao,Cabine,Entregue,Frágil,Atrasado,8174
243,Roma,Paris,Paris,,59,Nao,Porão,Entregue,Frágil,Normal,4483
244,Sydney,Porto,Porto,Madrid;Rio de Janeiro,27,Nao,Cabine,Entregue,Frágil,Atrasado,2782
245,Nova Iorque,Los Angeles,Lisboa,Lisboa,28,Sim,Porão,Em trânsito,Normal,Normal,2614
246,Nova Iorque,Porto,Los Angeles,,163,Sim,Cabine,Perdida,Normal,Atrasado,9153
