id,origem,destino,localizacao,escalas,tempo_desde_ultimo_scan,alertas_sistema,lugar_bagagem,estado,tipo_bagagem,status_voo,distancia_percorrida
22,Istambul,Moscovo,Moscovo,Rio de Janeiro;Bangkok;Barcelona,20,Sim,Cabine,Em trânsito,Frágil,Normal,8169
23,Madrid,Tóquio,Tóquio,,157,Sim,Cabine,Perdida,Normal,Atrasado,2326
24,Bangkok,Roma,Roma,Berlim;Dubai,18,Nao,Porão,Entregue,Frágil,Cancelado,9388
25,Funchal,Sydney,Dubai,Paris;São Paulo;Roma,101,Sim,Porão,Perdida,Normal,Normal,3794
26,Cairo,São Paulo,São Paulo,Funchal,112,Sim,Cabine,Perdida,Frágil,Normal,2643
27,Moscovo,Sydney,Sydney,Tóquio;Dubai,153,Sim,Cabine,Perdida,Valiosa,Normal,7499
28,Los Angeles,Madrid,Madrid,São Paulo;Porto;Barcelona,67,Nao,Cabine,Entregue,Normal,Normal,5053
29,Paris,Sydney,Sydney,Cairo,72,Nao,Porão,Entregue,Normal,Normal,8531
30,Hong Kong,Sydney,Sydney,Moscovo;Funchal;Istambul,14,Sim,Cabine,Em trânsito,Valiosa,Normal,1566
31,Madrid,Buenos Aires,Sydney,Sydney;Roma,23,Sim,Porão,Em trânsito,Frágil,Normal,9399
32,Moscovo,Rio de Janeiro,São Paulo,São Paulo,31,Nao,Porão,Em trânsito,Normal,Normal,6810
33,Berlim,Tóquio,Tóquio,Paris;Madrid;Rio de Janeiro,38,Nao,Cabine,Entregue,Normal,Atrasado,7870
34,Roma,Funchal,Funchal,,173,Sim,Cabine,Perdida,Frágil,Normal,3050
35,Madrid,Paris,Paris,Moscovo;Cairo,66,Nao,Cabine,Entregue,Normal,Atrasado,6335
36,São Paulo,Bangkok,Bangkok,London;Paris;Hong Kong,30,Nao,Cabine,Em trânsito,Normal,Normal,4692
37,Nova Iorque,Barcelona,Berlim,Nova Iorque;Berlim,37,Nao,Porão,Em trânsito,Normal,Atrasado,1219
38,Los Angeles,Buenos Aires,Buenos Aires,Sydney,52,Nao,Porão,Entregue,Normal,Cancelado,9347
39,Porto,Nova Iorque,Cairo,Hong Kong;Cairo;Berlim,25,Nao,Porão,Em trânsito,Normal,Normal,3093
40,Buenos Aires,Istambul,Istambul,Madrid,51,Nao,Porão,Entregue,Valiosa,Cancelado,519
41,Cairo,Madrid,Buenos Aires,Funchal,134,Sim,Porão,Perdida,Normal,Normal,8667
42,Cairo,Lisboa,Lisboa,São Paulo;Madrid,32,Nao,Porão,Entregue,Valiosa,Cancelado,9778
43,Roma,Sydney,Sydney,,36,Nao,Cabine,Entregue,Normal,Atrasado,3695
44,Barcelona,Hong Kong,Hong Kong,Tóquio,57,Nao,Porão,Entregue,Normal,Cancelado,4101
45,Hong Kong,Porto,Porto,Barcelona,39,Nao,Porão,Entregue,Normal,Normal,270
46,Funchal,Tóquio,Tóquio,,12,Nao,Porão,Entregue,Normal,Normal,6639
47,Dubai,Roma,Barcelona,Barcelona;Istambul,44,Nao,Porão,Em trânsito,Normal,Normal,4214
48,Hong Kong,Los Angeles,Los Angeles,Funchal,47,Nao,Cabine,Entregue,Normal,Atrasado,1148
49,Tóquio,São Paulo,Berlim,Istambul;Lisboa,121,Sim,Porão,Perdida,Normal,Atrasado,1099
50,Istambul,Cairo,Cairo,Tóquio,48,Nao,Porão,Entregue,Frágil,Atrasado,3515
51,Tóquio,Nova Iorque,Nova Iorque,Barcelona;Hong Kong;Dubai,47,Nao,Porão,Entregue,Frágil,Normal,7301
52,London,Moscovo,Moscovo,Bangkok;Lisboa,19,Nao,Cabine,Em trânsito,Normal,Atrasado,8048
53,Los Angeles,Buenos Aires,Buenos Aires,Rio de Janeiro;Auckland;Istambul,66,Nao,Cabine,Entregue,Normal,Atrasado,1725
54,Rio de Janeiro,São Paulo,São Paulo,,143,Sim,Cabine,Perdida,Normal,Atrasado,5280
55,Sydney,Hong Kong,Tóquio,Lisboa,125,Sim,Porão,Perdida,Frágil,Normal,7908
56,Funchal,London,Istambul,,169,Sim,Porão,Perdida,Frágil,Normal,4194
57,Buenos Aires,Madrid,Madrid,,61,Nao,Porão,Entregue,Normal,Cancelado,1031
58,Sydney,Barcelona,Barcelona,Lisboa,72,Nao,Porão,Entregue,Normal,Cancelado,2544
59,São Paulo,Madrid,Madrid,Buenos Aires,10,Nao,Cabine,Entregue,Valiosa,Normal,2767
60,Berlim,Istambul,Sydney,Madrid,145,Sim,Porão,Perdida,Normal,Normal,7252
61,Buenos Aires,Moscovo,Moscovo,São Paulo;Buenos Aires;Hong Kong,61,Nao,Porão,Entregue,Normal,Normal,4608
62,Moscovo,Dubai,Dubai,Auckland;Istambul,37,Nao,Cabine,Em trânsito,Normal,Normal,7172
63,Nova Iorque,Istambul,Hong Kong,Hong Kong,13,Sim,Porão,Em trânsito,Frágil,Normal,4870
64,Los Angeles,Berlim,Madrid,,108,Sim,Porão,Perdida,Frágil,Atrasado,3925
65,Roma,Bangkok,Bangkok,Funchal;Madrid;São Paulo,24,Nao,Cabine,Em trânsito,Normal,Atrasado,2702
66,Buenos Aires,Hong Kong,Auckland,Roma;Auckland;Berlim,31,Sim,Porão,Em trânsito,Frágil,Atrasado,9389
67,Cairo,Moscovo,Roma,,149,Sim,Porão,Perdida,Frágil,Normal,2113
68,Sydney,São Paulo,Porto,Lisboa;Porto,20,Nao,Porão,Em trânsito,Normal,Atrasado,2256
69,Dubai,Los Angeles,London,London,16,Sim,Porão,Em trânsito,Frágil,Normal,4696
70,Moscovo,Barcelona,Lisboa,Lisboa;Auckland;Rio de Janeiro,1,Nao,Porão,Em trânsito,Normal,Normal,5700
71,Porto,Hong Kong,Lisboa,,105,Sim,Porão,Perdida,Frágil,Atrasado,7813
72,Tóquio,London,London,Funchal,71,Nao,Porão,Entregue,Frágil,Cancelado,7884
73,Berlim,Roma,Roma,Lisboa;Nova Iorque;Dubai,35,Nao,Porão,Entregue,Normal,Cancelado,2829
74,Madrid,Tóquio,Tóquio,Funchal;Paris;Cairo,30,Nao,Porão,Entregue,Frágil,Normal,5140
75,Rio de Janeiro,Dubai,Dubai,Bangkok;Buenos Aires;Paris,172,Sim,Cabine,Perdida,Normal,Normal,658
76,Tóquio,Buenos Aires,Buenos Aires,,67,Nao,Cabine,Entregue,Normal,Normal,5623
77,Roma,Lisboa,Dubai,,112,Sim,Porão,Perdida,Normal,Normal,4815
78,Barcelona,Bangkok,Bangkok,London;Moscovo,15,Nao,Porão,Entregue,Frágil,Normal,5086
79,Tóquio,Barcelona,Barcelona,Hong Kong;São Paulo,30,Nao,Cabine,Em trânsito,Normal,Normal,7610
80,Cairo,São Paulo,São Paulo,Nova Iorque,17,Nao,Cabine,Em trânsito,Normal,Atrasado,3602
81,Auckland,Lisboa,Lisboa,Buenos Aires;Berlim;Bangkok,67,Nao,Cabine,Entregue,Normal,Cancelado,8760
82,Paris,Moscovo,Moscovo,Funchal,31,Nao,Porão,Entregue,Normal,Normal,8996
83,Dubai,Auckland,Auckland,,39,Nao,Porão,Entregue,Frágil,Normal,6535
84,Bangkok,Roma,Roma,,38,Nao,Porão,Entregue,Normal,Cancelado,9264
85,London,São Paulo,São Paulo,,32,Nao,Porão,Entregue,Frágil,Atrasado,7757
86,Roma,Istambul,Istambul,,41,Nao,Cabine,Entregue,Normal,Atrasado,2233
87,Paris,Madrid,Lisboa,,120,Sim,Porão,Perdida,Normal,Atrasado,2591
88,Moscovo,Hong Kong,Hong Kong,Madrid;Barcelona,58,Nao,Porão,Entregue,Normal,Cancelado,2385
89,Rio de Janeiro,Dubai,Porto,Sydney;Berlim;Moscovo,111,Sim,Porão,Perdida,Normal,Atrasado,8286
90,Cairo,London,Los Angeles,,196,Sim,Porão,Perdida,Normal,Normal,7341
91,Bangkok,Los Angeles,Auckland,Roma;Bangkok;Auckland,30,Sim,Porão,Em trânsito,Frágil,Normal,6769
92,Funchal,São Paulo,São Paulo,London;Paris;Tóquio,12,Nao,Porão,Entregue,Normal,Atrasado,5876
93,Cairo,Porto,Porto,Paris;Funchal;Roma,29,Nao,Cabine,Entregue,Normal,Normal,9444
94,London,Moscovo,Moscovo,,23,Nao,Cabine,Entregue,Normal,Atrasado,635
95,Funchal,Los Angeles,Los Angeles,,16,Nao,Porão,Entregue,Normal,Atrasado,3743
96,Tóquio,Hong Kong,Hong Kong,Los Angeles;Rio de Janeiro,48,Nao,Porão,Entregue,Valiosa,Cancelado,8528
97,Los Angeles,Moscovo,Moscovo,,37,Nao,Porão,Entregue,Normal,Normal,2786
98,Auckland,Berlim,Berlim,Hong Kong,13,Sim,Cabine,Em trânsito,Frágil,Normal,8476
99,Moscovo,Buenos Aires,Buenos Aires,Barcelona;Sydney,33,Nao,Cabine,Entregue,Normal,Cancelado,9110
100,Paris,Auckland,Auckland,Barcelona;Paris;Porto,65,Nao,Porão,Entregue,Normal,Cancelado,2719
101,Madrid,Bangkok,Bangkok,Dubai;Los Angeles,148,Sim,Cabine,Perdida,Normal,Normal,5673
102,Istambul,Porto,Bangkok,Hong Kong;Istambul;Los Angeles,143,Sim,Porão,Perdida,Normal,Atrasado,4969
103,Sydney,Roma,Lisboa,Bangkok;Los Angeles;Madrid,152,Sim,Porão,Perdida,Normal,Atrasado,2279
104,Lisboa,Auckland,Auckland,Roma,23,Nao,Porão,Entregue,Normal,Normal,5067
105,Tóquio,Bangkok,Bangkok,,68,Nao,Cabine,Entregue,Frágil,Cancelado,6678
106,Dubai,Lisboa,London,Paris;Buenos Aires;London,16,Nao,Porão,Em trânsito,Normal,Normal,4286
107,Barcelona,Bangkok,Madrid,Barcelona;Madrid,17,Sim,Porão,Em trânsito,Frágil,Normal,1816
108,Buenos Aires,Roma,Los Angeles,Los Angeles,22,Sim,Porão,Em trânsito,Frágil,Normal,3006
109,Bangkok,Barcelona,São Paulo,São Paulo,35,Nao,Porão,Em trânsito,Normal,Atrasado,4940
110,Cairo,London,London,São Paulo,62,Nao,Porão,Entregue,Valiosa,Atrasado,4884
111,Hong Kong,Dubai,Hong Kong,Paris;Roma;Istambul,161,Sim,Porão,Perdida,Normal,Atrasado,7655
112,Bangkok,Istambul,Roma,,130,Sim,Porão,Perdida,Normal,Atrasado,7146
113,London,Moscovo,Moscovo,Los Angeles,132,Sim,Cabine,Perdida,Normal,Normal,2943
114,Buenos Aires,Barcelona,Tóquio,Roma;Berlim;Buenos Aires,156,Sim,Porão,Perdida,Frágil,Atrasado,9186
115,Porto,Nova Iorque,Nova Iorque,Cairo;Roma;Porto,59,Nao,Porão,Entregue,Normal,Atrasado,6118
116,Barcelona,Dubai,Barcelona,,117,Sim,Porão,Perdida,Valiosa,Normal,4701
117,Istambul,São Paulo,Bangkok,Roma;Rio de Janeiro,116,Sim,Porão,Perdida,Frágil,Normal,6435
118,Berlim,Barcelona,Barcelona,,53,Nao,Porão,Entregue,Frágil,Normal,5430
119,Bangkok,Berlim,Berlim,Rio de Janeiro,21,Sim,Cabine,Em trânsito,Frágil,Atrasado,4135
120,Madrid,Buenos Aires,Buenos Aires,,14,Nao,Cabine,Entregue,Valiosa,Normal,3353
121,London,Dubai,Dubai,Funchal,44,Nao,Porão,Entregue,Valiosa,Atrasado,1575
122,Funchal,Moscovo,Moscovo,Nova Iorque;São Paulo,44,Nao,Porão,Entregue,Normal,Normal,9616
123,Dubai,Nova Iorque,Istambul,Madrid;Istambul;Porto,34,Nao,Porão,Em trânsito,Normal,Normal,6487
124,Madrid,Roma,Berlim,,196,Sim,Porão,Perdida,Normal,Atrasado,979
125,Lisboa,Istambul,Istambul,,31,Nao,Porão,Entregue,Normal,Atrasado,7572
126,Barcelona,Moscovo,Moscovo,Istambul;Buenos Aires,160,Sim,Cabine,Perdida,Frágil,Atrasado,2659
127,Rio de Janeiro,Funchal,Istambul,Madrid;Buenos Aires;Cairo,123,Sim,Porão,Perdida,Frágil,Atrasado,7706
128,Rio de Janeiro,Roma,Roma,,23,Nao,Porão,Entregue,Normal,Atrasado,6160
129,Auckland,Istambul,Hong Kong,Berlim;Hong Kong,28,Nao,Porão,Em trânsito,Normal,Atrasado,5566
130,Bangkok,Tóquio,Roma,,114,Sim,Porão,Perdida,Normal,Atrasado,1270
131,Istambul,Buenos Aires,Buenos Aires,Sydney;Dubai;Madrid,25,Nao,Porão,Entregue,Frágil,Atrasado,8109
132,Lisboa,Funchal,Funchal,Hong Kong;Berlim,26,Nao,Cabine,Em trânsito,Normal,Normal,6212
133,Berlim,Istambul,Istambul,London;Roma;Moscovo,15,Nao,Cabine,Entregue,Normal,Normal,8576
134,Berlim,São Paulo,Madrid,Hong Kong;Madrid;London,33,Nao,Porão,Em trânsito,Normal,Atrasado,1371
135,Madrid,Roma,Porto,Madrid;Rio de Janeiro,144,Sim,Porão,Perdida,Valiosa,Atrasado,3399
136,Los Angeles,Rio de Janeiro,Bangkok,Bangkok,34,Sim,Porão,Em trânsito,Valiosa,Atrasado,4534
137,São Paulo,Dubai,Dubai,Tóquio,28,Nao,Cabine,Em trânsito,Normal,Normal,4338
138,Roma,Paris,Paris,Dubai;Tóquio;Cairo,24,Nao,Cabine,Entregue,Normal,Atrasado,9193
139,Istambul,Nova Iorque,Hong Kong,Los Angeles,181,Sim,Porão,Perdida,Normal,Normal,5458
140,Porto,São Paulo,Hong Kong,Hong Kong,33,Nao,Porão,Em trânsito,Normal,Normal,8305
141,Nova Iorque,Istambul,Istambul,Auckland;Sydney;Nova Iorque,38,Nao,Cabine,Entregue,Frágil,Normal,1550
142,Porto,Auckland,Auckland,Nova Iorque,49,Nao,Porão,Entregue,Normal,Cancelado,5403
143,Rio de Janeiro,Istambul,Istambul,Sydney;Funchal,14,Nao,Cabine,Entregue,Frágil,Normal,7140
144,Los Angeles,Hong Kong,Dubai,Tóquio;Paris,127,Sim,Porão,Perdida,Frágil,Normal,3324
145,Funchal,London,London,Istambul,52,Nao,Porão,Entregue,Frágil,Atrasado,2061
146,Porto,Tóquio,Tóquio,,33,Nao,Porão,Entregue,Valiosa,Cancelado,3951
147,São Paulo,Los Angeles,Los Angeles,,48,Nao,Porão,Entregue,Valiosa,Normal,4165
148,Rio de Janeiro,Sydney,Sydney,,183,Sim,Cabine,Perdida,Frágil,Normal,9629
149,Cairo,Berlim,Moscovo,,196,Sim,Porão,Perdida,Normal,Atrasado,781
150,Hong Kong,Lisboa,Buenos Aires,Buenos Aires;Madrid;Barcelona,31,Sim,Porão,Em trânsito,Frágil,Normal,9908
151,Roma,Sydney,Sydney,Roma,44,Nao,Porão,Entregue,Normal,Normal,919
152,Lisboa,Auckland,Tóquio,Dubai;London,162,Sim,Porão,Perdida,Normal,Normal,7450
153,Tóquio,Porto,Porto,,123,Sim,Cabine,Perdida,Normal,Atrasado,4073
154,Rio de Janeiro,Buenos Aires,Buenos Aires,,10,Nao,Cabine,Entregue,Normal,Cancelado,9832
155,Dubai,Los Angeles,Los Angeles,,55,Nao,Porão,Entregue,Frágil,Normal,2164
156,São Paulo,Hong Kong,Dubai,Dubai;Buenos Aires;Sydney,31,Sim,Porão,Em trânsito,Frágil,Atrasado,205
157,London,Dubai,Dubai,Rio de Janeiro,26,Nao,Cabine,Entregue,Normal,Cancelado,3724
158,Rio de Janeiro,Moscovo,Moscovo,Los Angeles,41,Nao,Cabine,Entregue,Frágil,Normal,1359
159,Rio de Janeiro,Cairo,Tóquio,,192,Sim,Porão,Perdida,Normal,Normal,666
160,Bangkok,Nova Iorque,Nova Iorque,Tóquio;Moscovo,22,Nao,Cabine,Entregue,Normal,Cancelado,238
161,São Paulo,Rio de Janeiro,Rio de Janeiro,,186,Sim,Cabine,Perdida,Frágil,Atrasado,8439
162,Madrid,Bangkok,São Paulo,Istambul,180,Sim,Porão,Perdida,Frágil,Atrasado,2329
163,Moscovo,Rio de Janeiro,Rio de Janeiro,Roma;London,32,Nao,Porão,Entregue,Frágil,Normal,6116
164,Rio de Janeiro,Sydney,Berlim,,139,Sim,Porão,Perdida,Frágil,Normal,483
165,Sydney,Buenos Aires,Buenos Aires,Madrid,108,Sim,Cabine,Perdida,Frágil,Normal,4532
166,Barcelona,Auckland,Auckland,Madrid,33,Nao,Porão,Entregue,Normal,Normal,4993
167,Barcelona,Nova Iorque,Nova Iorque,Sydney;Funchal,39,Nao,Cabine,Entregue,Normal,Atrasado,8643
168,Paris,Auckland,Auckland,Tóquio;Hong Kong;Nova Iorque,40,Nao,Porão,Entregue,Normal,Atrasado,488
169,Lisboa,Los Angeles,Los Angeles,Rio de Janeiro,57,Nao,Porão,Entregue,Normal,Atrasado,6752
170,São Paulo,Roma,Roma,Cairo,38,Nao,Porão,Entregue,Frágil,Cancelado,211
171,Roma,Nova Iorque,Buenos Aires,London;Paris;Auckland,160,Sim,Porão,Perdida,Normal,Normal,8778
172,Buenos Aires,Auckland,Auckland,Barcelona,12,Nao,Cabine,Em trânsito,Normal,Atrasado,7770
173,Dubai,Roma,London,Lisboa,194,Sim,Porão,Perdida,Frágil,Atrasado,4632
174,Bangkok,Auckland,Auckland,,108,Sim,Cabine,Perdida,Normal,Atrasado,718
175,Hong Kong,Moscovo,Auckland,London;Funchal;Paris,117,Sim,Porão,Perdida,Normal,Normal,9775
176,Sydney,Dubai,Dubai,Funchal;Paris,58,Nao,Cabine,Entregue,Normal,Cancelado,7680
177,Auckland,Tóquio,Cairo,Cairo;Lisboa,37,Sim,Porão,Em trânsito,Frágil,Normal,2241
178,São Paulo,Barcelona,Barcelona,Buenos Aires;Lisboa,53,Nao,Porão,Entregue,Normal,Normal,1807
179,Bangkok,Madrid,Madrid,,17,Nao,Porão,Entregue,Normal,Atrasado,5057
180,Roma,São Paulo,Buenos Aires,,169,Sim,Porão,Perdida,Frágil,Normal,1215
181,Istambul,Roma,Roma,,178,Sim,Cabine,Perdida,Normal,Atrasado,7718
182,Los Angeles,Nova Iorque,Madrid,Madrid,34,Nao,Porão,Em trânsito,Normal,Atrasado,6627
183,Roma,Funchal,Funchal,,38,Nao,Cabine,Entregue,Frágil,Cancelado,3704
184,Funchal,Nova Iorque,Nova Iorque,Dubai;Funchal;Hong Kong,21,Nao,Cabine,Entregue,Normal,Cancelado,2436
185,Sydney,Rio de Janeiro,Rio de Janeiro,Madrid;Los Angeles,70,Nao,Porão,Entregue,Normal,Atrasado,3501
186,Buenos Aires,Paris,Bangkok,Dubai,166,Sim,Porão,Perdida,Frágil,Atrasado,8760
187,Barcelona,Madrid,Moscovo,Lisboa;Moscovo;São Paulo,24,Sim,Porão,Em trânsito,Frágil,Normal,2878
188,Sydney,Lisboa,Lisboa,,63,Nao,Porão,Entregue,Normal,Normal,8371
189,Porto,Funchal,Funchal,Moscovo,22,Nao,Porão,Entregue,Frágil,Normal,5093
190,Los Angeles,Sydney,Sydney,,24,Nao,Porão,Entregue,Normal,Atrasado,1413
191,Istambul,Dubai,Porto,Istambul;Sydney;Paris,147,Sim,Porão,Perdida,Normal,Normal,8634
192,Barcelona,Auckland,Auckland,Madrid;Rio de Janeiro;Buenos Aires,101,Sim,Cabine,Perdida,Normal,Atrasado,8109
193,Tóquio,Porto,Porto,Rio de Janeiro;Dubai,60,Nao,Porão,Entregue,Frágil,Atrasado,9301
194,Istambul,Funchal,Funchal,Los Angeles;Moscovo;Cairo,27,Sim,Cabine,Em trânsito,Frágil,Atrasado,5918
195,Porto,Lisboa,Lisboa,Barcelona,54,Nao,Porão,Entregue,Frágil,Normal,9615
196,Buenos Aires,London,London,Los Angeles;Hong Kong,38,Nao,Cabine,Entregue,Normal,Normal,1956
197,Cairo,Bangkok,Paris,Buenos Aires;São Paulo;Paris,27,Nao,Porão,Em trânsito,Normal,Atrasado,4959
198,Istambul,Bangkok,Bangkok,Porto;São Paulo,46,Nao,Porão,Entregue,Normal,Atrasado,3845
199,Buenos Aires,São Paulo,São Paulo,Hong Kong;Funchal,49,Nao,Cabine,Em trânsito,Normal,Normal,1471
200,Paris,Porto,Porto,Auckland,36,Nao,Porão,Entregue,Frágil,Normal,6959
201,Bangkok,Dubai,Dubai,,14,Nao,Porão,Entregue,Frágil,Cancelado,800
202,Barcelona,Los Angeles,Los Angeles,,32,Nao,Porão,Entregue,Frágil,Atrasado,9405
203,London,Barcelona,Barcelona,Dubai,18,Nao,Porão,Entregue,Normal,Normal,1459
204,Moscovo,Rio de Janeiro,Rio de Janeiro,São Paulo;Istambul,176,Sim,Cabine,Perdida,Frágil,Normal,3598
205,Roma,Funchal,Bangkok,Istambul;Bangkok;Rio de Janeiro,36,Sim,Porão,Em trânsito,Valiosa,Atrasado,1089
206,Paris,Dubai,Moscovo,Sydney;Rio de Janeiro;Moscovo,9,Nao,Porão,Em trânsito,Normal,Normal,8585
207,Bangkok,Los Angeles,Madrid,Istambul;Paris,112,Sim,Porão,Perdida,Valiosa,Atrasado,4161
208,Istambul,London,London,Madrid;Hong Kong,41,Nao,Cabine,Entregue,Frágil,Normal,7434
209,Berlim,Hong Kong,Hong Kong,Nova Iorque,49,Nao,Cabine,Entregue,Normal,Cancelado,3870
210,Porto,Buenos Aires,Buenos Aires,São Paulo;Los Angeles,55,Nao,Cabine,Entregue,Normal,Atrasado,3145
211,Moscovo,Madrid,Madrid,,72,Nao,Porão,Entregue,Frágil,Normal,2490
212,Istambul,Porto,Bangkok,Sydney;London,112,Sim,Porão,Perdida,Normal,Normal,808
213,Madrid,London,London,Auckland,26,Nao,Cabine,Entregue,Normal,Normal,4434
214,São Paulo,Auckland,Auckland,Roma,15,Nao,Cabine,Entregue,Frágil,Cancelado,3708
215,Istambul,Porto,Porto,London;Rio de Janeiro,59,Nao,Porão,Entregue,Normal,Atrasado,4711
216,Madrid,Lisboa,Lisboa,,39,Nao,Cabine,Entregue,Normal,Cancelado,5796
217,London,Rio de Janeiro,Rio de Janeiro,,41,Nao,Porão,Entregue,Normal,Normal,7243
218,Tóquio,Rio de Janeiro,Auckland,Funchal;Dubai;Bangkok,167,Sim,Porão,Perdida,Valiosa,Normal,7978
219,Tóquio,Rio de Janeiro,Rio de Janeiro,Berlim,157,Sim,Cabine,Perdida,Normal,Normal,3369
220,Bangkok,Tóquio,Tóquio,Nova Iorque,28,Sim,Cabine,Em trânsito,Frágil,Atrasado,5985
221,Moscovo,Tóquio,Tóquio,,25,Nao,Porão,Entregue,Normal,Normal,7173
222,Auckland,Paris,Paris,Buenos Aires,28,Nao,Porão,Entregue,Normal,Atrasado,7595
223,Rio de Janeiro,Funchal,Funchal,London;Porto;Tóquio,63,Nao,Cabine,Entregue,Normal,Atrasado,8159
224,Sydney,Barcelona,Tóquio,Berlim;Roma;Dubai,176,Sim,Porão,Perdida,Normal,Atrasado,247
225,Sydney,Tóquio,Tóquio,Los Angeles;Nova Iorque,62,Nao,Porão,Entregue,Normal,Atrasado,1280
226,Los Angeles,Lisboa,Tóquio,Tóquio;Dubai,21,Sim,Porão,Em trânsito,Frágil,Normal,7834
227,Barcelona,Cairo,Cairo,Paris;Hong Kong,15,Nao,Cabine,Em trânsito,Normal,Atrasado,815
228,Berlim,London,London,,40,Nao,Porão,Entregue,Normal,Normal,8838
229,Barcelona,São Paulo,São Paulo,,68,Nao,Porão,Entregue,Frágil,Cancelado,1288
230,Nova Iorque,Berlim,Berlim,,40,Nao,Porão,Entregue,Normal,Cancelado,6908
231,Porto,Auckland,Buenos Aires,Buenos Aires;Moscovo,32,Sim,Porão,Em trânsito,Valiosa,Atrasado,7153
232,Lisboa,Madrid,Los Angeles,Los Angeles;Porto,28,Nao,Porão,Em trânsito,Normal,Atrasado,2659
233,Madrid,Buenos Aires,Paris,Paris,8,Sim,Porão,Em trânsito,Valiosa,Atrasado,4892
234,Lisboa,São Paulo,São Paulo,,34,Nao,Porão,Entregue,Frágil,Normal,3802
235,Hong Kong,Funchal,Funchal,,21,Nao,Porão,Entregue,Valiosa,Atrasado,3725
236,Rio de Janeiro,Funchal,Funchal,,42,Nao,Cabine,Entregue,Frágil,Normal,3324
237,London,Istambul,London,,189,Sim,Porão,Perdida,Frágil,Atrasado,3005
238,Porto,Tóquio,Tóquio,Dubai,35,Nao,Cabine,Entregue,Valiosa,Normal,2645
239,Cairo,Moscovo,Roma,London;Auckland,129,Sim,Porão,Perdida,Frágil,Normal,1543
240,Sydney,Dubai,Dubai,,13,Nao,Cabine,Entregue,Normal,Atrasado,6634
241,Nova Iorque,Hong Kong,Cairo,São Paulo;Cairo,18,Nao,Porão,Em trânsito,Normal,Normal,6670
242,Nova Iorque,Bangkok,London,London,20,Sim,Porão,Em trânsito,Frágil,Atrasado,7178
243,London,Hong Kong,Hong Kong,Moscovo;Auckland;Lisboa,21,Nao,Cabine,Em trânsito,Normal,Atrasado,2142
244,Moscovo,Berlim,Berlim,Los Angeles;Moscovo;Bangkok,21,Nao,Cabine,Em trânsito,Normal,Atrasado,6660
245,Bangkok,Funchal,Funchal,Dubai;Sydney;London,27,Nao,Porão,Entregue,Normal,Normal,4232
246,Roma,São Paulo,Dubai,Los Angeles,198,Sim,Porão,Perdida,Valiosa,Normal,3402
247,Bangkok,Funchal,Funchal,Paris;Sydney,30,Nao,Cabine,Em trânsito,Normal,Atrasado,9897
248,Barcelona,Porto,Auckland,Hong Kong;London;Paris,170,Sim,Porão,Perdida,Frágil,Normal,2606
