id,origem,destino,localizacao,tempo_desde_ultimo_scan,alertas_sistema,estado,tipo_bagagem,status_voo,numero_escalas,distancia_percorrida
37,Aeroporto A,Aeroporto B,Paris,12,Nao,Entregue,Valiosa,Normal,1,834
38,Aeroporto A,Aeroporto C,Paris,189,Sim,Perdida,Normal,Cancelado,2,1429
39,Aeroporto B,Aeroporto A,Lisboa,21,Sim,Em trânsito,Valiosa,Atrasado,1,947
40,Aeroporto B,Aeroporto C,Lisboa,183,Sim,Perdida,Normal,Atrasado,1,921
41,Aeroporto A,Aeroporto B,Porto,29,Nao,Em trânsito,Normal,Atrasado,1,833
42,Aeroporto B,Aeroporto A,Paris,188,Sim,Perdida,Normal,Cancelado,1,945
43,Aeroporto C,Aeroporto A,Lisboa,189,Sim,Perdida,Frágil,Atrasado,3,1951
44,Aeroporto C,Aeroporto A,Paris,45,Nao,Entregue,Frágil,Normal,3,1169
45,Aeroporto C,Aeroporto A,Lisboa,186,Sim,Perdida,Frágil,Cancelado,3,1344
46,Aeroporto B,Aeroporto C,Lisboa,115,Sim,Perdida,Normal,Normal,1,656
47,Aeroporto A,Aeroporto B,Paris,128,Sim,Perdida,Valiosa,Atrasado,0,553
48,Aeroporto B,Aeroporto C,Lisboa,103,Sim,Perdida,Normal,Cancelado,0,678
49,Aeroporto A,Aeroporto B,Porto,22,Nao,Em trânsito,Normal,Normal,1,581
50,Aeroporto C,Aeroporto B,Porto,150,Sim,Perdida,Normal,Cancelado,1,751
51,Aeroporto C,Aeroporto B,Porto,107,Sim,Perdida,Normal,Normal,1,890
52,Aeroporto C,Aeroporto A,Paris,27,Nao,Em trânsito,Normal,Normal,2,1682
53,Aeroporto C,Aeroporto B,Porto,102,Sim,Perdida,Normal,Cancelado,1,846
54,Aeroporto C,Aeroporto B,Paris,28,Nao,Entregue,Valiosa,Normal,1,770
55,Aeroporto A,Aeroporto C,Porto,25,Sim,Em trânsito,Frágil,Normal,1,1328
56,Aeroporto C,Aeroporto A,Paris,189,Sim,Perdida,Frágil,Normal,1,1338
57,Aeroporto C,Aeroporto A,Lisboa,106,Sim,Perdida,Normal,Normal,2,1854
58,Aeroporto A,Aeroporto C,Porto,199,Sim,Perdida,Normal,Cancelado,3,1930
59,Aeroporto B,Aeroporto A,Paris,121,Sim,Perdida,Normal,Cancelado,0,544
60,Aeroporto B,Aeroporto C,Porto,191,Sim,Perdida,Normal,Normal,0,762
61,Aeroporto B,Aeroporto A,Paris,22,Sim,Em trânsito,Frágil,Normal,0,687
62,Aeroporto C,Aeroporto A,Paris,44,Nao,Em trânsito,Normal,Atrasado,2,1121
63,Aeroporto B,Aeroporto A,Porto,14,Nao,Em trânsito,Normal,Atrasado,0,726
64,Aeroporto C,Aeroporto B,Paris,172,Sim,Perdida,Valiosa,Normal,1,996
65,Aeroporto B,Aeroporto C,Paris,183,Sim,Perdida,Normal,Cancelado,0,518
66,Aeroporto B,Aeroporto C,Porto,42,Nao,Entregue,Valiosa,Normal,0,931
67,Aeroporto B,Aeroporto A,Porto,18,Nao,Entregue,Frágil,Normal,0,527
68,Aeroporto B,Aeroporto C,Lisboa,107,Sim,Perdida,Frágil,Atrasado,1,688
69,Aeroporto A,Aeroporto B,Lisboa,32,Sim,Em trânsito,Frágil,Normal,0,762
70,Aeroporto C,Aeroporto A,Lisboa,47,Nao,Entregue,Normal,Normal,1,1643
71,Aeroporto B,Aeroporto C,Porto,133,Sim,Perdida,Normal,Atrasado,1,687
72,Aeroporto B,Aeroporto C,Lisboa,28,Nao,Entregue,Normal,Normal,0,590
73,Aeroporto A,Aeroporto B,Paris,107,Sim,Perdida,Frágil,Cancelado,0,979
74,Aeroporto A,Aeroporto B,Porto,160,Sim,Perdida,Normal,Cancelado,0,727
75,Aeroporto A,Aeroporto B,Paris,38,Sim,Em trânsito,Frágil,Atrasado,0,864
76,Aeroporto B,Aeroporto C,Lisboa,112,Sim,Perdida,Frágil,Cancelado,0,663
77,Aeroporto C,Aeroporto B,Lisboa,110,Sim,Perdida,Normal,Atrasado,1,820
78,Aeroporto A,Aeroporto B,Porto,105,Sim,Perdida,Normal,Normal,1,524
79,Aeroporto A,Aeroporto B,Porto,157,Sim,Perdida,Frágil,Cancelado,1,797
80,Aeroporto A,Aeroporto C,Lisboa,12,Nao,Em trânsito,Normal,Normal,2,1469
81,Aeroporto C,Aeroporto A,Lisboa,130,Sim,Perdida,Frágil,Atrasado,3,1737
82,Aeroporto B,Aeroporto A,Lisboa,178,Sim,Perdida,Normal,Cancelado,1,545
83,Aeroporto A,Aeroporto C,Paris,63,Nao,Entregue,Normal,Normal,1,1867
84,Aeroporto C,Aeroporto B,Lisboa,143,Sim,Perdida,Normal,Cancelado,0,923
85,Aeroporto C,Aeroporto A,Lisboa,151,Sim,Perdida,Valiosa,Cancelado,1,1980
86,Aeroporto C,Aeroporto B,Lisboa,61,Nao,Entregue,Normal,Normal,1,613
87,Aeroporto C,Aeroporto B,Paris,20,Nao,Em trânsito,Normal,Normal,0,650
88,Aeroporto B,Aeroporto A,Lisboa,108,Sim,Perdida,Normal,Atrasado,1,786
89,Aeroporto A,Aeroporto B,Paris,107,Sim,Perdida,Normal,Atrasado,0,952
90,Aeroporto A,Aeroporto C,Lisboa,28,Nao,Em trânsito,Normal,Atrasado,2,1930
91,Aeroporto C,Aeroporto B,Lisboa,33,Nao,Entregue,Normal,Normal,0,671
92,Aeroporto A,Aeroporto B,Lisboa,23,Nao,Entregue,Frágil,Normal,0,899
93,Aeroporto A,Aeroporto B,Paris,155,Sim,Perdida,Normal,Cancelado,0,644
94,Aeroporto C,Aeroporto A,Porto,134,Sim,Perdida,Valiosa,Cancelado,3,1379
95,Aeroporto C,Aeroporto B,Porto,29,Nao,Em trânsito,Normal,Atrasado,1,743
96,Aeroporto C,Aeroporto B,Paris,194,Sim,Perdida,Normal,Cancelado,1,780
97,Aeroporto B,Aeroporto A,Paris,41,Sim,Em trânsito,Frágil,Normal,0,844
98,Aeroporto C,Aeroporto A,Porto,113,Sim,Perdida,Normal,Normal,2,1794
99,Aeroporto A,Aeroporto B,Lisboa,159,Sim,Perdida,Normal,Cancelado,0,621
100,Aeroporto B,Aeroporto C,Porto,19,Nao,Em trânsito,Normal,Atrasado,0,993
